,商品英文名稱,商品價格,商品連結
0, The NEW Moisturizing Soft Cream, 0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570  0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570 ,https://www.cremedelamer.com/product/5834/104371/face/moisturizers/the-new-moisturizing-soft-cream
1, The NEW Treatment Lotion, 3.4oz / $125  5oz / $180  3.4oz / $125  5oz / $180 ,https://www.cremedelamer.com/product/11484/99912/prep/the-new-treatment-lotion/treatment
2, The Micro Peel,  $270 ,https://www.cremedelamer.com/product/20657/82050/collections/specialists/the-micro-peel
3, The Broad Spectrum SPF 50 UV Protecting Fluid,  $105 ,https://www.cremedelamer.com/product/20656/29674/face/spf/the-broad-spectrum-spf-50-uv-protecting-fluid/sun-lotion
4, The Soft Moisture Powder Foundation Broad Spectrum SPF 30, Alabaster / $140  Blossom / $140  Beach / $140  Bronze / $140  Pearl / $140  Autumn / $140  Caramel / $140  Sandstone / $140  Ecru / $140  Fair / $140  Sunrise / $140  Rose / $140 ,https://www.cremedelamer.com/product/5817/67390/skincolor/the-soft-moisture-powder-foundation-broad-spectrum-spf-30/long-lasting-foundation
5, The Mist,  $85 ,https://www.cremedelamer.com/product/20180/26248/face/cleansers-and-toners/the-mist/facial-spray
6, The Eye Concentrate,  $260 ,https://www.cremedelamer.com/product/20652/74983/face/eye-treatments/the-eye-concentrate/eye-cream
7, The Lip Polish,  $75 ,https://www.cremedelamer.com/product/24131/81982/face/lip-care/the-lip-polish
8, The Hydrating Illuminator ,  $90 ,https://www.cremedelamer.com/product/5817/64926/skincolor/the-hydrating-illuminator/highlighting-glow
9, Crème de la Mer, 0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675  0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675 ,https://www.cremedelamer.com/product/5834/12343/face/moisturizers/creme-de-la-mer/moisturizer-dry-skin
10, The Hydrating Infused Emulsion, 1.7oz / $125  4.2oz / $280  1.7oz / $125  4.2oz / $280 ,https://www.cremedelamer.com/product/11484/88916/prep/the-hydrating-infused-emulsion/lightweight-moisturizer-face
11, The Lip Volumizer,  $85 ,https://www.cremedelamer.com/product/24131/64678/face/lip-care/the-lip-volumizer/lip-plumping-gloss
12, The Luminous Lifting Cushion Foundation Broad Spectrum SPF 20, 01 Pink Porcelain / $140  03 Warm Porcelain / $140  12 Neutral Ivory / $140  23 Warm Vanilla / $140  33 Warm Bisque / $140 ,https://www.cremedelamer.com/product/5817/52692/skincolor/the-luminous-lifting-cushion-foundation-broad-spectrum-spf-20/compact-foundation
13, The Treatment Lotion Hydrating Mask,  $190 ,https://www.cremedelamer.com/product/20653/58706/face/exfoliators-masks/the-treatment-lotion-hydrating-mask/hydrating-sheet-mask
14, The Moisturizing Cool Gel Cream, 0.5oz / $100  1oz / $200  2oz / $380  0.5oz / $100  1oz / $200  2oz / $380 ,https://www.cremedelamer.com/product/5834/52333/face/moisturizers/the-moisturizing-cool-gel-cream/moisturizer-sensitive-skin
15, The Moisturizing Soft Lotion,  $320 ,https://www.cremedelamer.com/product/5834/42790/face/moisturizers/the-moisturizing-soft-lotion/lotion-for-dry-skin
16, The Moisturizing Matte Lotion,  $320 ,https://www.cremedelamer.com/product/5834/48607/face/moisturizers/the-moisturizing-matte-lotion/moisturizer-for-oily-skin
17, Genaissance de la Mer The Serum Essence,  $790 ,https://www.cremedelamer.com/product/20658/37490/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-serum-essence/anti-aging-skin-serum
18, The Revitalizing Hydrating Serum,  $255 ,https://www.cremedelamer.com/product/9090/43795/face/serums/the-revitalizing-hydrating-serum/hydrating-face-serum
19, The Concentrate, .5oz / $220  1oz / $425  1.7oz / $590  .5oz / $220  1oz / $425  1.7oz / $590 ,https://www.cremedelamer.com/product/9090/78364/face/serums/the-concentrate/serum
20, The Eye Balm Intense,  $260 ,https://www.cremedelamer.com/product/20652/13071/face/eye-treatments/the-eye-balm-intense/eye-cream-wrinkles
21, The Lifting Eye Serum,  $300 ,https://www.cremedelamer.com/product/20652/39441/face/eye-treatments/the-lifting-eye-serum/rejuvenating-eye-serum
22, Genaissance de la Mer The Eye & Expression Cream,  $495 ,https://www.cremedelamer.com/product/20658/51458/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-eye-expression-cream/anti-aging-eye-cream
23, The Soft Fluid Long Wear Foundation Broad Spectrum SPF 20, 100 Porcelain / $140  120 Ivory / $140  130 Warm Ivory / $140  140 Alabaster / $140  160 Crème / $140  170 Warm Cameo / $140  110 Shell / $140  150 Natural / $140  180 Linen / $140  230 Light Ochre / $140  200 Dune / $140  210 Bisque / $140  220 Neutral / $140  250 Sand / $140  300 Taupe / $140  320 Blush / $140  310 Beige / $140  340 Suede / $140  330 Tan / $140  350 Honey / $140  440 Amber / $140  450 Sepia / $140  460 Sienna / $140  400 Dusk / $140  410 Espresso / $140  430 Chestnut / $140  420 Terra / $140 ,https://www.cremedelamer.com/product/5817/40984/skincolor/the-soft-fluid-long-wear-foundation-broad-spectrum-spf-20/face-foundation-makeup
24, The Concealer,  $85 ,https://www.cremedelamer.com/product/5817/41001/skincolor/the-concealer/face-concealer
25, The Powder,  $110 ,https://www.cremedelamer.com/product/5817/41000/skincolor/the-powder/powder-foundation
26, The Foundation Brush,  $90 ,https://www.cremedelamer.com/product/5817/41004/skincolor/the-foundation-brush/foundation-makeup-brush
27, The Powder Brush,  $95 ,https://www.cremedelamer.com/product/5817/40792/skincolor/the-powder-brush/powder-foundation-brush
28, The Renewal Oil, 1oz / $270  0.5oz / $145  1oz / $270  0.5oz / $145 ,https://www.cremedelamer.com/product/20657/36221/collections/specialists/the-renewal-oil/anti-aging-oil
29, The Intensive Revitalizing Mask,  $200 ,https://www.cremedelamer.com/product/20653/30929/face/exfoliators-masks/the-intensive-revitalizing-mask/anti-pollution-face-mask
30, The Lifting and Firming Mask, 0.5oz / $95  1.7oz / $300  0.5oz / $95  1.7oz / $300 ,https://www.cremedelamer.com/product/20653/30156/face/exfoliators-masks/the-lifting-and-firming-mask/anti-aging-mask
31, The Hydrating Facial,  $280 ,https://www.cremedelamer.com/product/20653/12524/face/exfoliators-masks/the-hydrating-facial/cotton-sheet-mask
32, The Replenishing Oil Exfoliator,  $135 ,https://www.cremedelamer.com/product/20180/52336/face/cleansers-and-toners/the-replenishing-oil-exfoliator/exfoliating-scrub
33, The Cleansing Foam, 1oz / $25  4.2oz / $95  1oz / $25  4.2oz / $95 ,https://www.cremedelamer.com/product/20180/26245/face/cleansers-and-toners/the-cleansing-foam/energize-face-wash
34, The Cleansing Micellar Water,  $95 ,https://www.cremedelamer.com/product/20180/40981/face/cleansers-and-toners/the-cleansing-micellar-water/waterproof-makeup-remover
35, The Cleansing Gel,  $95 ,https://www.cremedelamer.com/product/20180/26244/face/cleansers-and-toners/the-cleansing-gel/gel-face-wash
36, The Cleansing Lotion,  $95 ,https://www.cremedelamer.com/product/20180/26243/face/cleansers-and-toners/the-cleansing-lotion/cleansing-makeup-remover
37, The Tonic, 3.4oz / $55  6.7oz / $95  3.4oz / $55  6.7oz / $95 ,https://www.cremedelamer.com/product/20180/26246/face/cleansers-and-toners/the-tonic/face-toner
38, The Oil Absorbing Tonic,  $95 ,https://www.cremedelamer.com/product/20180/26247/face/cleansers-and-toners/the-oil-absorbing-tonic/toner-oily-skin
39, Genaissance de la Mer The Infused Lotion,  $305 ,https://www.cremedelamer.com/product/20658/51457/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-infused-lotion/anti-aging-face-lotion
40, The Soft Moisture Powder Foundation Broad Spectrum SPF 30, Alabaster / $140  Blossom / $140  Beach / $140  Bronze / $140  Pearl / $140  Autumn / $140  Caramel / $140  Sandstone / $140  Ecru / $140  Fair / $140  Sunrise / $140  Rose / $140 ,https://www.cremedelamer.com/product/5817/67390/skincolor/the-soft-moisture-powder-foundation-broad-spectrum-spf-30/long-lasting-foundation
41, The Soft Fluid Long Wear Foundation Broad Spectrum SPF 20, 100 Porcelain / $140  120 Ivory / $140  130 Warm Ivory / $140  140 Alabaster / $140  160 Crème / $140  170 Warm Cameo / $140  110 Shell / $140  150 Natural / $140  180 Linen / $140  230 Light Ochre / $140  200 Dune / $140  210 Bisque / $140  220 Neutral / $140  250 Sand / $140  300 Taupe / $140  320 Blush / $140  310 Beige / $140  340 Suede / $140  330 Tan / $140  350 Honey / $140  440 Amber / $140  450 Sepia / $140  460 Sienna / $140  400 Dusk / $140  410 Espresso / $140  430 Chestnut / $140  420 Terra / $140 ,https://www.cremedelamer.com/product/5817/40984/skincolor/the-soft-fluid-long-wear-foundation-broad-spectrum-spf-20/face-foundation-makeup
42, The Radiant SkinTint Broad Spectrum SPF 30, Light / $110  Fair / $110  Very Light / $110  Medium / $110  Medium Deep / $110  Light Medium / $110 ,https://www.cremedelamer.com/product/5817/76767/skincolor/the-radiant-skintint-broad-spectrum-spf-30/tinted-moisturizer-spf30
43, The Luminous Lifting Cushion Foundation Broad Spectrum SPF 20, 01 Pink Porcelain / $140  03 Warm Porcelain / $140  12 Neutral Ivory / $140  23 Warm Vanilla / $140  33 Warm Bisque / $140 ,https://www.cremedelamer.com/product/5817/52692/skincolor/the-luminous-lifting-cushion-foundation-broad-spectrum-spf-20/compact-foundation
44, The Perfecting Primer,  $95 ,https://www.cremedelamer.com/product/5817/76630/skincolor/the-perfecting-primer/face-primer
45, The Hydrating Illuminator ,  $90 ,https://www.cremedelamer.com/product/5817/64926/skincolor/the-hydrating-illuminator/highlighting-glow
46, The Concealer,  $85 ,https://www.cremedelamer.com/product/5817/41001/skincolor/the-concealer/face-concealer
47, The Powder,  $110 ,https://www.cremedelamer.com/product/5817/41000/skincolor/the-powder/powder-foundation
48, The Foundation Brush,  $90 ,https://www.cremedelamer.com/product/5817/41004/skincolor/the-foundation-brush/foundation-makeup-brush
49, The Powder Brush,  $95 ,https://www.cremedelamer.com/product/5817/40792/skincolor/the-powder-brush/powder-foundation-brush
50, The Hand Treatment,  $95 ,https://www.cremedelamer.com/product/5819/12350/body/the-hand-treatment/hand-cream
51, The Renewal Oil, 1oz / $270  0.5oz / $145  1oz / $270  0.5oz / $145 ,https://www.cremedelamer.com/product/20657/36221/collections/specialists/the-renewal-oil/anti-aging-oil
52, The Neck and Décolleté Concentrate,  $320 ,https://www.cremedelamer.com/product/20657/65231/collections/specialists/the-neck-and-decollete-concentrate/neck-cream
53, The Reparative Body Lotion,  $170 ,https://www.cremedelamer.com/product/5819/94844/body/the-reparative-body-lotion/hydrating-body-lotion
54, The Body Crème,  $300 ,https://www.cremedelamer.com/product/5819/12320/body/the-body-creme/moisturizing-body-cream
55, The Renewal Body Oil Balm ,  $210 ,https://www.cremedelamer.com/product/5819/67537/body/the-renewal-body-oil-balm/best-body-oil
56, The Broad Spectrum SPF 50 UV Protecting Fluid,  $105 ,https://www.cremedelamer.com/product/20656/29674/face/spf/the-broad-spectrum-spf-50-uv-protecting-fluid/sun-lotion
57, Genaissance de la Mer The Concentrated Night Balm,  $740 ,https://www.cremedelamer.com/product/20658/78410/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-concentrated-night-balm/night-cream
58, Genaissance de la Mer The Eye & Expression Cream,  $495 ,https://www.cremedelamer.com/product/20658/51458/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-eye-expression-cream/anti-aging-eye-cream
59, Genaissance de la Mer The Serum Essence,  $790 ,https://www.cremedelamer.com/product/20658/37490/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-serum-essence/anti-aging-skin-serum
60, Genaissance de la Mer The Infused Lotion,  $305 ,https://www.cremedelamer.com/product/20658/51457/collections/genaissance-de-la-mertm/genaissance-de-la-mer-the-infused-lotion/anti-aging-face-lotion
61, The Moisturizing Cool Gel Cream, 0.5oz / $100  1oz / $200  2oz / $380  0.5oz / $100  1oz / $200  2oz / $380 ,https://www.cremedelamer.com/product/5834/52333/face/moisturizers/the-moisturizing-cool-gel-cream/moisturizer-sensitive-skin
62, The NEW Treatment Lotion, 3.4oz / $125  5oz / $180  3.4oz / $125  5oz / $180 ,https://www.cremedelamer.com/product/11484/99912/prep/the-new-treatment-lotion/treatment
63, The Cleansing Foam, 1oz / $25  4.2oz / $95  1oz / $25  4.2oz / $95 ,https://www.cremedelamer.com/product/20180/26245/face/cleansers-and-toners/the-cleansing-foam/energize-face-wash
64, The Renewal Oil, 1oz / $270  0.5oz / $145  1oz / $270  0.5oz / $145 ,https://www.cremedelamer.com/product/20657/36221/collections/specialists/the-renewal-oil/anti-aging-oil
65, The Regenerating Serum, 2.5oz / $820  1oz / $410  2.5oz / $820  1oz / $410 ,https://www.cremedelamer.com/product/9090/67479/face/serums/the-regenerating-serum/best-face-serum
66, The Eye Concentrate,  $260 ,https://www.cremedelamer.com/product/20652/74983/face/eye-treatments/the-eye-concentrate/eye-cream
67, The Concentrate, .5oz / $220  1oz / $425  1.7oz / $590  .5oz / $220  1oz / $425  1.7oz / $590 ,https://www.cremedelamer.com/product/9090/78364/face/serums/the-concentrate/serum
68, The Hydrating Infused Emulsion, 1.7oz / $125  4.2oz / $280  1.7oz / $125  4.2oz / $280 ,https://www.cremedelamer.com/product/11484/88916/prep/the-hydrating-infused-emulsion/lightweight-moisturizer-face
69, The NEW Moisturizing Soft Cream, 0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570  0.5oz / $100  8.4oz / $1375  2oz / $380  1oz / $200  3.4oz / $570 ,https://www.cremedelamer.com/product/5834/104371/face/moisturizers/the-new-moisturizing-soft-cream
70, The NEW Treatment Lotion, 3.4oz / $125  5oz / $180  3.4oz / $125  5oz / $180 ,https://www.cremedelamer.com/product/11484/99912/prep/the-new-treatment-lotion/treatment
71, Crème de la Mer, 0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675  0.5oz / $100  1oz / $200  2oz / $380  3.4oz / $570  16.5oz / $2675 ,https://www.cremedelamer.com/product/5834/12343/face/moisturizers/creme-de-la-mer/moisturizer-dry-skin
72, The Eye Concentrate,  $260 ,https://www.cremedelamer.com/product/20652/74983/face/eye-treatments/the-eye-concentrate/eye-cream
73, The Concentrate, .5oz / $220  1oz / $425  1.7oz / $590  .5oz / $220  1oz / $425  1.7oz / $590 ,https://www.cremedelamer.com/product/9090/78364/face/serums/the-concentrate/serum
74, The Cleansing Foam, 1oz / $25  4.2oz / $95  1oz / $25  4.2oz / $95 ,https://www.cremedelamer.com/product/20180/26245/face/cleansers-and-toners/the-cleansing-foam/energize-face-wash
75, The Regenerating Serum, 2.5oz / $820  1oz / $410  2.5oz / $820  1oz / $410 ,https://www.cremedelamer.com/product/9090/67479/face/serums/the-regenerating-serum/best-face-serum
76, The La Mer Discovery Collection,  $170 ,https://www.cremedelamer.com/product/22153/115898/sets/the-la-mer-discovery-collection
77, The Crème de la Mer Duet,  $380 ,https://www.cremedelamer.com/product/22153/104380/sets/the-creme-de-la-mer-duet/moisture-sets
78, The Crème de la Mer Duet,  $380 ,https://www.cremedelamer.com/product/22153/104382/sets/the-creme-de-la-mer-duet
79, The Luminous Glow Trio,  $115 ,https://www.cremedelamer.com/product/22153/111365/sets/the-luminous-glow-trio
